"id","gender","age","weight","height","bmi"
"59",111,1,41,148,173.355,22.336301334
"60",114,2,41,107,154.94,20.2152428813
"61",115,2,41,143,165.1,23.7938204565
"62",117,2,36,120,160.655,21.0870118618
"63",118,1,40,184,182.88,24.9521335455
"64",119,2,50,143,133.35,36.473067185
"65",120,2,49,215,164.465,36.0507056874
"66",121,2,31,151,163.195,25.7149414174
"67",124,1,44,208,175.26,30.7128422765
"68",126,1,35,168,160.655,29.5218166065
"69",127,1,52,174,181.61,23.9272077642
"70",130,1,48,146,170.815,22.6946314509
"71",131,1,31,247,168.545,38.9716926803
"72",132,2,50,109,151.13,21.6444932541
"73",133,2,49,131,147.32,27.376010862
"74",134,1,41,175,177.8,25.1071157415
"75",140,2,33,126,155.575,23.6109365993
"76",141,2,34,131,163.195,22.3089889118
"77",142,2,15,158,179.07,22.3477450913
"78",143,1,47,162,175.26,23.9205790807
"79",145,1,36,182,167.64,29.3723282411
"80",150,2,45,135,165.1,22.4626976338
"81",151,2,41,137,159.385,24.4595218448
"82",152,2,32,100,160.655,17.5725098848
"83",155,2,54,139,166.37,22.7765035757
"84",156,1,44,173,184.785,22.9792031084
"85",160,1,44,173,177.8,24.8201772758
"86",165,2,45,212,163.83,35.8237699757
"87",166,1,38,145,172.085,22.2077346246
"88",169,1,36,176,172.72,26.7577565687
"89",171,2,31,118,158.115,21.4071154748
"90",172,2,35,130,168.275,20.8221918232
"91",173,1,48,175,174.625,26.0284016414
"92",174,1,35,142,161.925,24.5630799694
"93",180,1,31,185,178.435,26.3532345418
"94",181,1,41,142,163.195,24.1822627899
"95",182,1,31,170,176.53,24.7419638589
"96",183,1,40,177,178.435,25.2136352102
"97",184,1,31,155,177.53,22.5588494007
"98",185,1,34,162,175.26,23.9205790807
"99",186,2,31,125,168.275,20.0213382915
"100",190,1,56,162,167.005,26.3437960944
"101",192,2,48,121,154.305,23.0487650953
"102",195,2,52,153,161.925,26.4658537698
"103",196,1,31,168,172.72,25.5414949065
"104",197,2,46,177,161.925,30.6173602435
"105",200,1,56,184,186.69,23.9440715072
"106",201,2,34,113,157.48,20.6656904802
"107",202,1,46,157,173.355,23.6945899286
"108",203,1,32,170,181.61,23.377157011
"109",204,2,30,127,161.925,21.9683884233
"110",208,1,39,189,179.07,26.7324292548
"111",209,2,42,253,167.64,40.8307639836
"112",210,2,47,104,156.21,19.3302719384
"113",211,1,36,178,168.91,28.2964248641
"114",213,2,39,106,152.4,20.6994220891
"115",220,1,24,174,177.165,25.1429180802
"116",221,2,52,174,162.925,30.0984219343
"117",222,1,54,168,181.61,23.1021316344
"118",228,1,31,175,168.275,28.0298736081
"119",230,2,47,245,158.115,44.4469770452
"120",233,2,56,134,161.29,23.3621174932
"121",235,1,40,214,173.355,32.2970843613
"122",238,2,36,105,162.56,18.0212207715
"123",240,2,23,110,164.465,18.4445470959
"124",241,2,57,165,167.005,26.8316441702
"125",242,2,41,118,153.035,22.8519234613
"126",243,1,40,159,173.355,23.9964318385
"127",247,2,39,138,160.02,24.4429063303
"128",248,2,34,140,160.02,24.7971513496
"129",249,2,49,119,151.765,23.4328977855
"130",252,1,48,186,180.34,25.9388729977
"131",253,1,38,156,170.18,24.4303590017
"132",258,1,49,156,182.245,21.3027486668
"133",259,1,46,214,173.355,32.2970843613
"134",263,2,39,138,165.1,22.9618686923
"135",264,2,59,167,148.86,33.7261916711
"136",265,1,47,159,175.26,23.477605394
"137",266,1,58,143,161.29,24.9312149368
"138",268,1,50,135,168.275,21.6230453548
"139",269,1,15,165,187.325,21.3262625178
"140",270,1,23,185,173.99,27.7169501925
"141",273,2,48,211,170.18,33.0436265985
"142",277,1,34,147,169.545,23.1936794494
"143",278,1,41,161,170.815,25.0262716684
"144",279,2,56,155,163.195,26.3961319185
"145",280,1,33,202,177.8,28.9807850273
"146",281,1,61,186,168.91,29.5681742962
"147",283,2,14,118,158.115,21.4071154748
"148",284,2,36,137,167.005,22.2783954625
"149",287,2,55,219,158.115,39.7301549915
"150",288,2,37,126,162.56,21.6254649257
"151",289,1,46,175,172.085,26.80243834
"152",290,2,58,111,154.94,20.9709528956
"153",291,1,29,145,166.1,24.1266011622
"154",295,2,42,108,160.02,19.1292310411
"155",298,2,44,198,162.56,33.9828734547
"156",299,1,48,206,184.15,27.551551695
"157",301,1,49,167,171.45,25.7669954913
"158",302,2,60,180,161.29,31.3819488715
"159",303,2,59,120,165.735,19.8141328263
"160",304,2,37,120,151.13,23.8287999128
"161",305,1,27,248,176.53,36.0941590412
"162",306,2,42,128,163.56,21.9687262738
"163",309,2,42,129,149.86,26.0519684166
"164",314,2,35,136,160.02,24.088661311
"165",315,2,55,147,152.4,28.7058023311
"166",316,2,36,183,161.925,31.6552368619
"167",317,1,40,220,183.515,29.6279657509
"168",319,1,49,203,167.005,33.0110531306
"169",320,2,27,131,172.72,19.9162847188
"170",321,2,33,117,160.02,20.7233336279
"171",324,2,45,116,163.195,19.7545245326
"172",326,1,34,175,184.785,23.2448586357
"173",327,1,45,214,178.435,30.4842821186
"174",331,2,45,140,167.005,22.7662435383
"175",332,2,35,215,165.735,35.5003213138
"176",337,2,29,143,160.29,24.9312149368
"177",338,1,31,178,174.625,26.4746028124
"178",339,1,26,161,174.625,23.9461295101
"179",341,2,50,157,160.02,27.8082340135
"180",342,1,19,147,177.165,21.2414307919
"181",348,1,28,188,178.435,26.7805842911
"182",350,1,60,193,169.545,30.4515655356
"183",351,2,37,140,159.385,24.9951318123
"184",352,2,55,145,160.02,25.6827638978
"185",353,2,50,142,156.845,26.1799779542
"186",354,2,45,125,154.94,23.6159379455
"187",356,1,54,133,157.115,24.1283589674
"188",357,1,60,126,165.1,20.9651844582
"189",358,1,38,220,181.61,30.252791426
"190",359,2,46,172,167.005,27.9699563471
"191",363,2,65,116,151.13,23.0345065824
"192",365,2,42,155,158.75,27.8950098734
"193",366,2,44,121,162.56,20.7673115557
"194",367,2,43,156,156.845,28.7611025412
"195",370,1,45,187,170.815,29.0677813789
"196",371,2,46,181,160.655,31.8062428915
"197",373,1,39,194,185.42,25.5923912005
"198",374,1,33,172,167.64,27.7584640521
"199",380,1,32,216,170.815,33.5756191328
"200",381,2,37,160,168.275,25.6273130131
